contamination,n_estimators,random_state,elapsed_sec,accuracy,precision_normal,recall_normal,f1_normal,support_normal,precision_anomaly,recall_anomaly,f1_anomaly,support_anomaly,precision_macro,recall_macro,f1_macro,confusion_tn,confusion_fp,confusion_fn,confusion_tp
0.01,100,42,11.4,0.8111,0.8177,0.9901,0.8957,747000,0.0028,0.0001,0.0002,164914,0.4103,0.4951,0.448,739633,7367,164893,21
0.02,100,42,13.19,0.803,0.8163,0.9799,0.8907,747000,0.0154,0.0014,0.0026,164914,0.4159,0.4907,0.4466,731999,15001,164680,234
0.03,100,42,12.14,0.7949,0.8149,0.9699,0.8857,747000,0.0162,0.0022,0.004,164914,0.4156,0.4861,0.4448,724533,22467,164543,371
0.04,100,42,10.84,0.787,0.8135,0.9601,0.8807,747000,0.0146,0.0027,0.0045,164914,0.414,0.4814,0.4426,717191,29809,164471,443
0.05,100,42,10.69,0.7788,0.812,0.95,0.8756,747000,0.0149,0.0034,0.0056,164914,0.4134,0.4767,0.4406,709677,37323,164350,564
0.1,100,42,11.54,0.7393,0.8049,0.8999,0.8498,747000,0.0255,0.0119,0.0162,164914,0.4152,0.4559,0.433,672233,74767,162957,1957
0.15,100,42,11.48,0.7033,0.8001,0.8502,0.8244,747000,0.053,0.038,0.0443,164914,0.4266,0.4441,0.4343,635117,111883,158647,6267
0.2,100,42,11.21,0.6622,0.7904,0.7996,0.795,747000,0.0419,0.0397,0.0407,164914,0.4161,0.4196,0.4179,597329,149671,158374,6540
0.3,100,42,11.7,0.6272,0.8191,0.6994,0.7545,747000,0.1808,0.3005,0.2257,164914,0.4999,0.4999,0.4901,522435,224565,115362,49552
0.4,100,42,12.31,0.6502,0.9568,0.6001,0.7376,747000,0.3263,0.8774,0.4757,164914,0.6416,0.7387,0.6066,448276,298724,20224,144690
0.45,100,42,13.2,0.6296,0.996,0.55,0.7087,747000,0.3269,0.9899,0.4915,164914,0.6614,0.77,0.6001,410870,336130,1670,163244
0.5,100,42,13.36,0.589,0.9969,0.4998,0.6658,747000,0.3047,0.993,0.4663,164914,0.6508,0.7464,0.5661,373364,373636,1154,163760
