model,dataset,contamination,n_estimators,random_state,total_time_sec,accuracy,precision_normal,recall_normal,f1_normal,support_normal,precision_anomaly,recall_anomaly,f1_anomaly,support_anomaly,precision_macro,recall_macro,f1_macro,confusion_tn,confusion_fp,confusion_fn,confusion_tp,source_file,model_name,loss,batch_size,warmup_time_sec,test_time_sec,total_processed,stage2_calls,stage2_call_rate,balanced_accuracy,total_training_time_sec,hidden_layer_sizes,activation,solver,max_iter,pool_size,base_hidden_layers,base_activation,base_solver,base_max_iter
ensemble,netflow,,,,130.14,0.9752,0.9952,0.9744,0.9847,747000,0.894,0.9789,0.9345,164914,0.9446,0.9766,0.9596,727869,19131,3485,161429,evaluation/ensemble/netflow/ensemble_evaluation.csv,dynamic_ensemble,,25000.0,91.87,38.27,911914.0,498292.0,0.5464,0.9766,130.14,,,,,5.0,"(50,)",relu,adam,50.0
ensemble,cores_iot,,,,55.46,0.9564,0.9998,0.9064,0.9508,93855,0.9247,0.9998,0.9608,107895,0.9622,0.9531,0.9558,85074,8781,21,107874,evaluation/ensemble/cores_iot/ensemble_evaluation.csv,dynamic_ensemble,,25000.0,45.9,9.56,201750.0,150601.0,0.7465,0.9531,55.46,,,,,5.0,"(50,)",relu,adam,50.0
ensemble,kdd,,,,372.77,0.9501,0.8056,0.9797,0.8842,48397,0.9948,0.9429,0.9682,200426,0.9002,0.9613,0.9262,47413,984,11438,188988,evaluation/ensemble/kdd/ensemble_evaluation.csv,dynamic_ensemble,,25000.0,355.96,16.81,248823.0,211590.0,0.8504,0.9613,372.77,,,,,5.0,"(50,)",relu,adam,50.0
mlp,kdd,,,42.0,27.79,0.9484,0.8079,0.9637,0.879,48397,0.9908,0.9447,0.9672,200426,0.8994,0.9542,0.9231,46642,1755,11090,189336,evaluation/mlp/kdd/mlp_evaluation.csv,mlp_classifier,,20000.0,25.88,1.91,248823.0,211590.0,0.8504,0.9542,27.79,"(100,)",relu,adam,1.0,,,,,
mlp,netflow,,,42.0,14.93,0.9505,0.9776,0.9616,0.9695,747000,0.8381,0.9004,0.8681,164914,0.9079,0.931,0.9188,718309,28691,16431,148483,evaluation/mlp/netflow/mlp_evaluation.csv,mlp_classifier,,20000.0,8.68,6.25,911914.0,498292.0,0.5464,0.931,14.93,"(100,)",relu,adam,1.0,,,,,
sgd,cores_iot,,,42.0,5.05,0.9045,0.9035,0.8897,0.8966,93855,0.9053,0.9174,0.9113,107895,0.9044,0.9035,0.9039,83501,10354,8914,98981,evaluation/sgd/cores_iot/sgd_evaluation.csv,sgd_classifier,log_loss,25000.0,3.98,1.07,201750.0,150601.0,0.7465,0.9035,5.05,,,,,,,,,
mlp,cores_iot,,,42.0,6.62,0.8923,0.862,0.915,0.8877,93855,0.9219,0.8725,0.8965,107895,0.8919,0.8938,0.8921,85881,7974,13754,94141,evaluation/mlp/cores_iot/mlp_evaluation.csv,mlp_classifier,,20000.0,5.0,1.62,201750.0,150601.0,0.7465,0.8938,6.62,"(100,)",relu,adam,1.0,,,,,
sgd,kdd,,,42.0,16.75,0.9155,0.7377,0.8781,0.8018,48397,0.9691,0.9246,0.9463,200426,0.8534,0.9013,0.8741,42497,5900,15114,185312,evaluation/sgd/kdd/sgd_evaluation.csv,sgd_classifier,log_loss,25000.0,15.62,1.13,248823.0,211590.0,0.8504,0.9013,16.75,,,,,,,,,
sgd,netflow,,,42.0,11.07,0.9108,0.9363,0.9561,0.9461,747000,0.7803,0.7055,0.741,164914,0.8583,0.8308,0.8436,714238,32762,48565,116349,evaluation/sgd/netflow/sgd_evaluation.csv,sgd_classifier,log_loss,25000.0,7.53,3.54,911914.0,498292.0,0.5464,0.8308,11.07,,,,,,,,,
isolation_forest,kdd,0.45,100.0,42.0,3.93,0.9089,0.8455,0.6505,0.7353,48397,0.9201,0.9713,0.945,200426,0.8828,0.8109,0.8401,31481,16916,5752,194674,evaluation/isolation_forest/kdd/isolation_forest_evaluation.csv,,,,,,,,,,,,,,,,,,,
isolation_forest,cores_iot,0.45,100.0,42.0,3.65,0.7883,1.0,0.545,0.7055,93855,0.7164,1.0,0.8348,107895,0.8582,0.7725,0.7701,51148,42707,1,107894,evaluation/isolation_forest/cores_iot/isolation_forest_evaluation.csv,,,,,,,,,,,,,,,,,,,
isolation_forest,netflow,0.45,100.0,42.0,9.24,0.6305,0.9957,0.5513,0.7097,747000,0.3274,0.9892,0.492,164914,0.6616,0.7703,0.6008,411846,335154,1776,163138,evaluation/isolation_forest/netflow/isolation_forest_evaluation.csv,,,,,,,,,,,,,,,,,,,
